"location","time_idx","value","target"
"CZ","2020-02-08",0,"inc case"
"DK","2020-02-08",0,"inc case"
"EE","2020-02-08",0,"inc case"
"FI","2020-02-08",0,"inc case"
"FR","2020-02-08",5,"inc case"
"DE","2020-02-08",0,"inc case"
"GR","2020-02-08",0,"inc case"
"HU","2020-02-08",0,"inc case"
"IS","2020-02-08",0,"inc case"
"IE","2020-02-08",0,"inc case"
"IT","2020-02-08",0,"inc case"
"LV","2020-02-08",0,"inc case"
"LI","2020-02-08",0,"inc case"
"LT","2020-02-08",0,"inc case"
"LU","2020-02-08",0,"inc case"
"MT","2020-02-08",0,"inc case"
"NL","2020-02-08",0,"inc case"
"NO","2020-02-08",0,"inc case"
"PL","2020-02-08",0,"inc case"
"PT","2020-02-08",0,"inc case"
"RO","2020-02-08",0,"inc case"
"SK","2020-02-08",0,"inc case"
"SI","2020-02-08",0,"inc case"
"ES","2020-02-08",0,"inc case"
"SE","2020-02-08",0,"inc case"
"CH","2020-02-08",0,"inc case"
"GB","2020-02-08",4,"inc case"
"AT","2020-02-09",0,"inc case"
"BE","2020-02-09",0,"inc case"
"BG","2020-02-09",0,"inc case"
"HR","2020-02-09",0,"inc case"
"CY","2020-02-09",0,"inc case"
"CZ","2020-02-09",0,"inc case"
"DK","2020-02-09",0,"inc case"
"EE","2020-02-09",0,"inc case"
"FI","2020-02-09",0,"inc case"
"FR","2020-02-09",0,"inc case"
"DE","2020-02-09",1,"inc case"
"GR","2020-02-09",0,"inc case"
"HU","2020-02-09",0,"inc case"
"IS","2020-02-09",0,"inc case"
"IE","2020-02-09",0,"inc case"
"IT","2020-02-09",0,"inc case"
"LV","2020-02-09",0,"inc case"
"LI","2020-02-09",0,"inc case"
"LT","2020-02-09",0,"inc case"
"LU","2020-02-09",0,"inc case"
"MT","2020-02-09",0,"inc case"
"NL","2020-02-09",0,"inc case"
"NO","2020-02-09",0,"inc case"
"PL","2020-02-09",0,"inc case"
"PT","2020-02-09",0,"inc case"
"RO","2020-02-09",0,"inc case"
"SK","2020-02-09",0,"inc case"
"SI","2020-02-09",0,"inc case"
"ES","2020-02-09",1,"inc case"
"SE","2020-02-09",0,"inc case"
"CH","2020-02-09",0,"inc case"
"GB","2020-02-09",1,"inc case"
"AT","2020-02-10",0,"inc case"
"BE","2020-02-10",0,"inc case"
"BG","2020-02-10",0,"inc case"
"HR","2020-02-10",0,"inc case"
"CY","2020-02-10",0,"inc case"
"CZ","2020-02-10",0,"inc case"
"DK","2020-02-10",0,"inc case"
"EE","2020-02-10",0,"inc case"
"FI","2020-02-10",0,"inc case"
"FR","2020-02-10",0,"inc case"
"DE","2020-02-10",0,"inc case"
"GR","2020-02-10",0,"inc case"
"HU","2020-02-10",0,"inc case"
"IS","2020-02-10",0,"inc case"
"IE","2020-02-10",0,"inc case"
"IT","2020-02-10",0,"inc case"
"LV","2020-02-10",0,"inc case"
"LI","2020-02-10",0,"inc case"
"LT","2020-02-10",0,"inc case"
"LU","2020-02-10",0,"inc case"
"MT","2020-02-10",0,"inc case"
"NL","2020-02-10",0,"inc case"
"NO","2020-02-10",0,"inc case"
"PL","2020-02-10",0,"inc case"
"PT","2020-02-10",0,"inc case"
"RO","2020-02-10",0,"inc case"
"SK","2020-02-10",0,"inc case"
"SI","2020-02-10",0,"inc case"
"ES","2020-02-10",0,"inc case"
"SE","2020-02-10",0,"inc case"
"CH","2020-02-10",0,"inc case"
"GB","2020-02-10",0,"inc case"
"AT","2020-02-11",0,"inc case"
"BE","2020-02-11",0,"inc case"
"BG","2020-02-11",0,"inc case"
"HR","2020-02-11",0,"inc case"
"CY","2020-02-11",0,"inc case"
"CZ","2020-02-11",0,"inc case"
"DK","2020-02-11",0,"inc case"
"EE","2020-02-11",0,"inc case"
"FI","2020-02-11",1,"inc case"
"FR","2020-02-11",0,"inc case"
"DE","2020-02-11",2,"inc case"
"GR","2020-02-11",0,"inc case"
"HU","2020-02-11",0,"inc case"
"IS","2020-02-11",0,"inc case"
"IE","2020-02-11",0,"inc case"
"IT","2020-02-11",0,"inc case"
"LV","2020-02-11",0,"inc case"
"LI","2020-02-11",0,"inc case"
"LT","2020-02-11",0,"inc case"
"LU","2020-02-11",0,"inc case"
"MT","2020-02-11",0,"inc case"
"NL","2020-02-11",0,"inc case"
"NO","2020-02-11",0,"inc case"
"PL","2020-02-11",0,"inc case"
"PT","2020-02-11",0,"inc case"
"RO","2020-02-11",0,"inc case"
"SK","2020-02-11",0,"inc case"
"SI","2020-02-11",0,"inc case"
"ES","2020-02-11",0,"inc case"
"SE","2020-02-11",0,"inc case"
"CH","2020-02-11",0,"inc case"
"GB","2020-02-11",1,"inc case"
"AT","2020-02-12",0,"inc case"
"BE","2020-02-12",0,"inc case"
"BG","2020-02-12",0,"inc case"
"HR","2020-02-12",0,"inc case"
"CY","2020-02-12",0,"inc case"
"CZ","2020-02-12",0,"inc case"
"DK","2020-02-12",0,"inc case"
"EE","2020-02-12",0,"inc case"
"FI","2020-02-12",0,"inc case"
"FR","2020-02-12",0,"inc case"
"DE","2020-02-12",0,"inc case"
"GR","2020-02-12",0,"inc case"
"HU","2020-02-12",0,"inc case"
"IS","2020-02-12",0,"inc case"
"IE","2020-02-12",0,"inc case"
"IT","2020-02-12",0,"inc case"
"LV","2020-02-12",0,"inc case"
"LI","2020-02-12",0,"inc case"
"LT","2020-02-12",0,"inc case"
"LU","2020-02-12",0,"inc case"
"MT","2020-02-12",0,"inc case"
"NL","2020-02-12",0,"inc case"
"NO","2020-02-12",0,"inc case"
"PL","2020-02-12",0,"inc case"
"PT","2020-02-12",0,"inc case"
"RO","2020-02-12",0,"inc case"
"SK","2020-02-12",0,"inc case"
"SI","2020-02-12",0,"inc case"
"ES","2020-02-12",0,"inc case"
"SE","2020-02-12",0,"inc case"
"CH","2020-02-12",0,"inc case"
"GB","2020-02-12",1,"inc case"
"AT","2020-02-13",0,"inc case"
"BE","2020-02-13",0,"inc case"
"BG","2020-02-13",0,"inc case"
"HR","2020-02-13",0,"inc case"
"CY","2020-02-13",0,"inc case"
"CZ","2020-02-13",0,"inc case"
"DK","2020-02-13",0,"inc case"
"EE","2020-02-13",0,"inc case"
"FI","2020-02-13",0,"inc case"
"FR","2020-02-13",0,"inc case"
"DE","2020-02-13",0,"inc case"
"GR","2020-02-13",0,"inc case"
"HU","2020-02-13",0,"inc case"
"IS","2020-02-13",0,"inc case"
"IE","2020-02-13",0,"inc case"
"IT","2020-02-13",0,"inc case"
"LV","2020-02-13",0,"inc case"
"LI","2020-02-13",0,"inc case"
"LT","2020-02-13",0,"inc case"
"LU","2020-02-13",0,"inc case"
"MT","2020-02-13",0,"inc case"
"NL","2020-02-13",0,"inc case"
"NO","2020-02-13",0,"inc case"
"PL","2020-02-13",0,"inc case"
"PT","2020-02-13",0,"inc case"
"RO","2020-02-13",0,"inc case"
"SK","2020-02-13",0,"inc case"
"SI","2020-02-13",0,"inc case"
"ES","2020-02-13",0,"inc case"
"SE","2020-02-13",0,"inc case"
"CH","2020-02-13",0,"inc case"
"GB","2020-02-13",1,"inc case"
"AT","2020-02-14",0,"inc case"
"BE","2020-02-14",0,"inc case"
"BG","2020-02-14",0,"inc case"
"HR","2020-02-14",0,"inc case"
"CY","2020-02-14",0,"inc case"
"CZ","2020-02-14",0,"inc case"
"DK","2020-02-14",0,"inc case"
"EE","2020-02-14",0,"inc case"
"FI","2020-02-14",0,"inc case"
"FR","2020-02-14",0,"inc case"
"DE","2020-02-14",0,"inc case"
"GR","2020-02-14",0,"inc case"
"HU","2020-02-14",0,"inc case"
"IS","2020-02-14",0,"inc case"
"IE","2020-02-14",0,"inc case"
"IT","2020-02-14",0,"inc case"
"LV","2020-02-14",0,"inc case"
"LI","2020-02-14",0,"inc case"
"LT","2020-02-14",0,"inc case"
"LU","2020-02-14",0,"inc case"
"MT","2020-02-14",0,"inc case"
"NL","2020-02-14",0,"inc case"
"NO","2020-02-14",0,"inc case"
"PL","2020-02-14",0,"inc case"
"PT","2020-02-14",0,"inc case"
"RO","2020-02-14",0,"inc case"
"SK","2020-02-14",0,"inc case"
"SI","2020-02-14",0,"inc case"
"ES","2020-02-14",0,"inc case"
